facility_code,facility_name,unit,std_unit_cost_krw,useful_life_years,salvage_rate,note
GH_SINGLE,단동 비닐하우스(기본형),m2,30000,10,0.05,"파이프 골조+피복 기준, 자동화 미포함. 시장 시공가 평당 8~11만원(㎡ 2.4~3.3만)의 중간값"
GH_MULTI,연동 비닐하우스(자동개폐 포함),m2,60000,15,0.05,"연동·자동개폐·커튼 포함 기준. 단동 대비 약 2배"
RAIN_SHELTER,과수 비가림 시설,m2,25000,10,0.05,"포도 비가림 등. 간이 골조+피복"
TRELLIS_GRAPE,포도 덕(평덕) 시설,m2,4000,15,0.05,"10a당 약 300~500만원 환산"
TRELLIS_APPLE,사과 밀식 지주시설,m2,2000,15,0.05,"M9 밀식재배 지주·와이어. 10a당 약 150~250만원 환산"
COLD_STORAGE,저온저장고,m2,600000,15,0.10,"판넬+냉동유닛 포함. 10평(33㎡)당 약 2,000만원 환산"
WAREHOUSE,농기계창고·관리사(판넬조),m2,350000,20,0.10,"샌드위치판넬 단층 기준"
IRRIGATION,관수시설(점적·스프링클러),m2,5000,8,0.00,"10a당 약 50만원 환산. 관정 비용 별도"
