program_code,name,target_sido,target_crop,target_role,description,amount_text,apply_url,source_refs
YOUTH_SETTLE_FUND,청년농업인 영농정착지원사업,,,YOUNG,"영농정착지원금, 창업자금, 교육·컨설팅 지원 (18~40세 미만)","월 최대 110만원 (최장 3년)",https://www.agrion.kr/portal/bbs/selectContentTypeNew.do?bbsId=BBS_ID0000000103&sn=48051&atchFileId=19b6db5013e52&pageIndex=1,"농업정책보험금융원 agrion.kr 청년후계농 지원정책 목록(2025-12-30 기준)"
YOUTH_2040_CONSULTING,청년농 2040 창업 투자 심층컨설팅,,,YOUNG,"기술전수·경영진단 등 심층 컨설팅 12회 (농업투자 추진/계획 중인 농업인 대상)","개소당 920만원 (국비 70%, 자부담 30%)",https://www.agrion.kr/portal/bbs/selectContentTypeNew.do?bbsId=BBS_ID0000000103&sn=48051&atchFileId=19b6db5013e52&pageIndex=1,"농업정책보험금융원 agrion.kr 청년후계농 지원정책 목록(2025-12-30 기준)"
YOUTH_RURAL_HOUSING,청년 농촌보금자리조성사업,,,YOUNG,"귀농귀촌 청년·신혼부부 대상 농촌 주거 지원 (만 40세 미만)","지자체별 상이 (주거 지원, 금액 별도 공지)",https://www.agrion.kr/portal/bbs/selectContentTypeNew.do?bbsId=BBS_ID0000000103&sn=48051&atchFileId=19b6db5013e52&pageIndex=1,"농업정책보험금융원 agrion.kr 청년후계농 지원정책 목록(2025-12-30 기준)"
YOUTH_FARM_SCHOLARSHIP,청년창업농 장학금,,,YOUNG,"농업계열 대학 3학년 이상(40세 미만) 대상 장학금 지원","지원금액 별도 공지 (장학금)",https://www.agrion.kr/portal/bbs/selectContentTypeNew.do?bbsId=BBS_ID0000000103&sn=48051&atchFileId=19b6db5013e52&pageIndex=1,"농업정책보험금융원 agrion.kr 청년후계농 지원정책 목록(2025-12-30 기준)"
SMARTFARM_INCUBATOR_GB,스마트팜 청년창업보육센터(경북),경북,,YOUNG,"스마트팜 기본교육, 현장·경영 실습, 컨설팅 제공 (18~39세)","교육·실습 무상 지원 (금액 별도 공지)",https://www.agrion.kr/portal/bbs/selectContentTypeNew.do?bbsId=BBS_ID0000000103&sn=48051&atchFileId=19b6db5013e52&pageIndex=1,"농업정책보험금융원 agrion.kr 청년후계농 지원정책 목록(2025-12-30 기준) - 전북·전남·경북·경남 운영"
SMARTFARM_INCUBATOR_CB,청년농 창업 스마트팜 인큐베이팅 교육(충북 괴산),충북,,YOUNG,"스마트팜 청년창업 인큐베이팅 교육 및 실습 (18~39세)","교육·실습 무상 지원 (금액 별도 공지)",https://www.agrion.kr/portal/bbs/selectContentTypeNew.do?bbsId=BBS_ID0000000103&sn=48051&atchFileId=19b6db5013e52&pageIndex=1,"농업정책보험금융원 agrion.kr 청년후계농 지원정책 목록(2025-12-30 기준) - 충북 괴산군 사례"
